nan	
nan	
nan	
nan	
nan	
nan	
nan	
nan	
nan	
nan	
15.304328	5.209381
15.744328	5.040244
16.144328	4.948749
16.268306	5.283801
16.688306	5.494819
17.148306	5.35661
nan	
18.59268	5.83728
18.97268	5.723556
19.43268	5.938439
19.93268	5.924909
nan	nan
nan	nan
nan	nan
nan	nan
54.672942	6.431674
55.156351	5.985475
56.216351	5.999973
56.676351	5.820527
55.156351	5.985475
56.802307	5.011249
57.262307	5.320205
nan	nan
nan	nan
169.391456	5.280579
169.391456	5.280579
169.391456	5.280579
169.871456	5.266404
170.354963	5.308285
170.834963	5.829548
171.294963	5.424587
171.754963	5.383994
172.219654	5.73161
172.679654	5.675553
173.099654	5.956803
173.559654	5.710025
174.059654	5.624007
